#{"t_start": 1713995816.013716, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,221,1.081152
3.0,295,1.269252
2.0,253,1.443478
3.0,279,1.655242
2.0,226,1.802402
1.0,195,1.929267
0.0,168,2.038797
1.0,214,2.179154
0.0,159,2.287124
0.0,160,2.389383
2.0,232,2.559304
0.0,177,2.677538
1.0,195,2.813915
3.0,261,3.027483
1.0,210,3.188138
4.0,297,3.437127
1.0,210,3.57263
1.0,192,3.701513
2.0,212,3.90468
2.0,248,4.13521
4.0,297,4.3782
0.0,160,4.502381
2.0,237,4.666121
1.0,221,4.836546
2.0,227,4.997482
3.0,248,5.149382
3.0,258,5.309346
5.0,351,5.535643
2.0,212,5.664341
0.0,161,5.769842
6.0,313,5.973605
5.0,347,6.193001
3.0,277,6.378102
2.0,248,6.550064
1.0,214,6.686387
4.0,345,6.900011
0.0,151,6.995563
2.0,245,7.155199
2.0,251,7.3089
1.0,201,7.433237
3.0,278,7.600049
2.0,235,7.731713
0.0,179,7.847517
4.0,318,8.116271
0.0,159,8.223758
4.0,361,8.477926
1.0,183,8.610258
2.0,232,8.766394
2.0,257,8.94622
4.0,325,9.166418
1.0,215,9.306652
0.0,183,9.430467
7.0,441,9.742268
2.0,226,9.902288
1.0,182,10.025891
0.0,167,10.136508
1.0,202,10.266355
0.0,163,10.36292
2.0,253,10.527598
1.0,226,10.671709
3.0,248,10.81196
3.0,261,10.974446
2.0,242,11.120673
2.0,243,11.255927
2.0,253,11.395453
2.0,258,11.540874
0.0,173,11.65192
4.0,345,11.861109
2.0,238,12.01605
3.0,273,12.197438
0.0,154,12.307783
0.0,158,12.419954
1.0,207,12.563445
0.0,148,12.680617
1.0,209,12.841459
2.0,249,13.045742
2.0,218,13.201902
4.0,335,13.431907
5.0,345,13.669798
4.0,313,13.859696
3.0,283,14.030508
2.0,246,14.186189
1.0,225,14.323766
2.0,227,14.460985
1.0,197,14.584496
1.0,222,14.723623
2.0,249,14.878724
4.0,368,15.102035
2.0,234,15.249247
2.0,258,15.415917
2.0,242,15.560355
1.0,210,15.685542
1.0,222,15.813441
