#{"t_start": 1713849656.072508, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,171,0.910399
3.0,282,1.091724
3.0,303,1.518572
3.0,272,1.690453
1.0,221,1.816747
3.0,266,2.066998
3.0,288,2.234785
0.0,157,2.340019
0.0,163,2.433145
2.0,253,2.697536
1.0,219,2.824516
2.0,243,2.968211
0.0,154,3.158736
3.0,295,3.337606
3.0,270,3.506235
2.0,252,3.738872
1.0,183,3.847588
5.0,349,4.152835
3.0,293,4.316886
2.0,242,4.45539
2.0,231,4.675832
3.0,272,4.840598
3.0,280,5.091887
2.0,248,5.233467
5.0,357,5.447644
3.0,293,5.703491
2.0,254,5.843857
3.0,285,6.100073
4.0,331,6.297228
3.0,279,6.460066
4.0,340,6.759639
2.0,231,6.890348
0.0,164,6.974379
5.0,332,7.264801
5.0,339,7.562014
2.0,207,7.684704
7.0,424,7.947539
1.0,174,8.1334
6.0,408,8.41391
11.0,587,8.908673
6.0,384,9.255545
8.0,432,9.647614
7.0,420,9.917567
4.0,311,10.209246
5.0,371,10.444444
5.0,334,10.761813
5.0,350,10.99189
7.0,448,11.379762
8.0,453,11.781374
2.0,220,11.915123
4.0,290,12.190827
6.0,369,12.427375
6.0,393,12.776428
6.0,399,13.03642
2.0,267,13.281764
7.0,426,13.559204
4.0,314,13.8533
5.0,338,14.164673
6.0,379,14.397892
2.0,244,14.546714
0.0,169,14.730239
2.0,230,14.868815
4.0,287,15.049359
4.0,287,15.316479
3.0,280,15.488788
5.0,366,15.803565
8.0,440,16.085474
6.0,377,16.419968
7.0,421,16.782741
4.0,298,16.96961
7.0,454,17.359609
3.0,275,17.53555
1.0,193,17.750749
5.0,339,17.967759
8.0,484,18.378169
5.0,313,18.575791
5.0,347,18.882921
11.0,484,19.309021
7.0,456,19.709532
5.0,374,19.945678
3.0,300,20.237359
3.0,294,20.426486
4.0,340,20.738962
6.0,422,21.018293
6.0,397,21.391395
5.0,386,21.639066
3.0,299,21.931494
2.0,258,22.083602
5.0,349,22.409219
4.0,337,22.617913
16.0,490,23.030486
12.0,465,23.426476
3.0,254,23.572116
15.0,638,24.083701
6.0,380,24.415448
7.0,433,24.78517
4.0,355,25.007043
3.0,280,25.259225
5.0,360,25.47999
6.0,370,25.803111
7.0,441,26.165354
7.0,442,26.46461
3.0,300,26.729365
7.0,470,27.029374
5.0,345,27.324231
8.0,498,27.728122
8.0,468,28.114488
10.0,436,28.402318
7.0,426,28.764397
7.0,427,29.128947
6.0,360,29.364952
8.0,463,29.773537
0.0,144,29.853101
5.0,345,30.166147
5.0,383,30.402518
2.0,243,30.632749
3.0,290,30.808504
0.0,144,30.882671
4.0,300,31.161852
4.0,310,31.364651
3.0,316,31.648592
5.0,394,31.900205
2.0,201,32.019445
6.0,456,32.414327
6.0,409,32.782215
7.0,475,33.187652
4.0,294,33.376851
3.0,278,33.638495
4.0,304,33.828139
6.0,436,34.196745
6.0,399,34.446112
6.0,405,34.786191
3.0,252,34.93767
3.0,268,35.191542
0.0,182,35.28975
5.0,342,35.599723
10.0,582,36.082837
9.0,469,36.384302
6.0,377,36.712295
9.0,478,37.112669
4.0,307,37.299978
8.0,440,37.679504
7.0,410,38.028967
14.0,462,38.333993
6.0,383,38.674636
8.0,484,39.082857
