#{"t_start": 1713848176.1160197, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,198,2.287103
4.0,320,2.864931
1.0,203,3.826904
4.0,315,4.403822
2.0,232,4.851094
3.0,307,5.64658
1.0,191,5.930533
3.0,309,6.48767
2.0,231,7.143779
0.0,170,7.399344
6.0,285,7.871989
3.0,274,8.612594
0.0,164,8.854957
5.0,345,9.756976
1.0,212,10.08461
1.0,185,10.337681
2.0,214,10.699909
4.0,311,11.537224
3.0,259,11.937531
5.0,352,12.846535
3.0,265,13.273678
0.0,174,13.480448
6.0,389,14.418251
3.0,266,14.80201
6.0,424,15.80675
2.0,233,16.122945
5.0,355,16.960185
3.0,249,17.334503
2.0,213,17.642813
5.0,349,18.463279
7.0,404,19.409718
8.0,432,20.140926
7.0,418,21.134912
11.0,433,22.233574
7.0,273,22.69955
7.0,411,23.68151
2.0,236,24.0496
3.0,258,24.784853
3.0,290,25.271372
12.0,322,26.078635
3.0,271,26.513093
6.0,394,27.480776
3.0,260,27.912243
11.0,597,29.301654
1.0,172,29.554783
5.0,312,30.366637
2.0,221,30.68313
4.0,289,31.142805
3.0,240,31.797446
7.0,284,32.239845
1.0,196,32.534774
7.0,270,33.249995
3.0,249,33.640409
6.0,390,34.613752
7.0,279,35.05912
6.0,373,35.995668
4.0,299,36.498873
3.0,241,37.177551
5.0,312,37.714587
6.0,379,38.632798
7.0,405,39.341789
5.0,342,40.231603
8.0,482,41.398601
4.0,294,41.842297
6.0,392,42.781567
7.0,270,43.227757
5.0,366,44.109837
7.0,299,44.567765
7.0,410,45.553331
7.0,425,46.546815
7.0,420,47.240401
6.0,373,48.147043
4.0,279,48.60113
11.0,455,49.63071
7.0,394,50.555131
7.0,282,50.989617
2.0,235,51.311508
3.0,247,51.939753
11.0,450,52.94885
7.0,418,53.638121
2.0,213,54.249383
6.0,388,54.868112
5.0,336,55.742118
7.0,409,56.444325
11.0,430,57.455009
11.0,441,58.48108
7.0,406,59.209979
4.0,309,59.937828
4.0,313,60.411211
7.0,274,61.120999
4.0,262,61.51993
6.0,392,62.512961
8.0,313,62.986309
6.0,382,63.8686
4.0,304,64.329356
2.0,222,64.905972
3.0,247,65.284637
7.0,295,65.714695
3.0,238,66.344616
11.0,297,66.843699
1.0,176,67.091461
12.0,533,68.229683
5.0,351,69.058065
4.0,270,69.495063
5.0,348,70.304875
7.0,416,70.973026
7.0,415,71.920476
7.0,405,72.858668
3.0,249,73.202538
6.0,381,74.112886
4.0,309,74.556847
4.0,280,75.254699
3.0,251,75.641102
7.0,414,76.604336
8.0,457,77.324745
5.0,314,78.053628
3.0,259,78.446031
7.0,411,79.409263
3.0,230,79.756448
2.0,231,80.307195
8.0,464,81.054722
5.0,322,81.834986
3.0,246,82.18468
8.0,466,83.26295
7.0,441,84.264668
8.0,318,84.76492
7.0,281,85.500963
7.0,271,85.955618
3.0,264,86.325344
4.0,303,87.065325
2.0,209,87.364575
2.0,236,87.700573
3.0,251,88.36447
3.0,248,88.76432
8.0,323,89.552826
8.0,433,90.273394
7.0,431,91.224763
7.0,269,91.646063
7.0,412,92.592058
3.0,243,92.958876
5.0,371,93.848573
7.0,427,94.830075
8.0,345,95.39225
2.0,210,95.705395
2.0,230,96.289589
7.0,405,96.982075
