#{"t_start": 1713655012.008358, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,227,1.407879
1.0,229,1.530169
0.0,164,1.615103
2.0,231,1.73731
2.0,269,1.879718
2.0,243,2.029706
0.0,156,2.113214
2.0,248,2.264383
2.0,243,2.401498
2.0,234,2.524391
1.0,194,2.631717
0.0,168,2.728572
1.0,204,2.884893
3.0,259,3.06171
1.0,208,3.17648
1.0,223,3.291567
2.0,226,3.411238
2.0,246,3.562246
4.0,303,3.726063
3.0,276,3.901031
3.0,257,4.05689
3.0,316,4.222262
4.0,315,4.389184
2.0,229,4.509251
0.0,162,4.596856
4.0,350,4.788998
1.0,206,4.897322
1.0,185,4.99991
0.0,173,5.090747
3.0,294,5.246862
3.0,275,5.3904
1.0,212,5.504539
1.0,204,5.612377
4.0,322,5.782363
1.0,203,5.908782
0.0,170,6.032847
2.0,234,6.191222
3.0,271,6.346153
0.0,174,6.439331
3.0,263,6.581253
0.0,175,6.67476
2.0,203,6.785104
3.0,285,6.945665
1.0,195,7.052424
2.0,230,7.173174
4.0,360,7.360292
0.0,163,7.446566
0.0,158,7.536791
3.0,288,7.699707
1.0,214,7.812388
0.0,166,7.901357
3.0,275,8.060604
5.0,354,8.255034
3.0,234,8.381558
2.0,220,8.497328
2.0,242,8.62384
2.0,235,8.747549
2.0,272,8.90735
2.0,248,9.073443
4.0,363,9.34024
3.0,304,9.49613
4.0,335,9.662052
2.0,231,9.772448
0.0,178,9.858235
1.0,173,9.942695
1.0,198,10.0406
2.0,245,10.159877
2.0,219,10.266699
3.0,281,10.40287
5.0,368,10.580147
2.0,223,10.697429
0.0,151,10.774686
4.0,314,10.933885
1.0,206,11.041944
2.0,237,11.181233
2.0,245,11.314217
1.0,178,11.409474
0.0,150,11.487061
2.0,246,11.619782
0.0,169,11.721752
2.0,247,11.847591
0.0,165,11.935703
0.0,164,12.02624
2.0,248,12.180569
1.0,208,12.290715
0.0,179,12.380842
0.0,174,12.470683
1.0,210,12.581358
0.0,154,12.671094
3.0,304,12.864166
3.0,309,13.045681
4.0,304,13.231022
1.0,225,13.351179
0.0,165,13.443131
1.0,194,13.55396
4.0,303,13.713657
2.0,247,13.846707
2.0,250,14.015795
2.0,229,14.162026
2.0,236,14.312087
0.0,155,14.409141
3.0,291,14.590217
0.0,170,14.684191
3.0,267,14.830506
4.0,282,14.98592
1.0,204,15.098594
2.0,255,15.246348
1.0,206,15.369466
2.0,223,15.499456
3.0,302,15.670981
1.0,227,15.792765
4.0,328,15.961992
1.0,215,16.076098
3.0,262,16.215076
0.0,154,16.296143
1.0,181,16.398033
3.0,267,16.549688
2.0,231,16.673023
1.0,205,16.778229
4.0,307,16.937452
2.0,248,17.087775
3.0,308,17.279442
5.0,368,17.47216
2.0,259,17.602735
2.0,244,17.73956
2.0,226,17.862495
2.0,230,17.991659
0.0,183,18.10026
0.0,160,18.185168
5.0,342,18.363722
0.0,168,18.449788
3.0,269,18.588295
3.0,272,18.726909
1.0,185,18.822232
1.0,221,18.936476
2.0,245,19.064659
6.0,426,19.288821
2.0,246,19.417595
0.0,161,19.50349
1.0,190,19.60474
2.0,257,19.739309
3.0,252,19.873529
3.0,274,20.018681
4.0,315,20.204456
2.0,230,20.330132
8.0,470,20.571445
2.0,236,20.698173
1.0,199,20.805136
6.0,390,21.02346
1.0,195,21.136625
1.0,187,21.254984
1.0,203,21.362102
3.0,282,21.510326
1.0,204,21.629291
3.0,268,21.77332
2.0,235,21.895676
2.0,222,22.01269
0.0,157,22.101898
3.0,248,22.243945
1.0,199,22.348764
3.0,287,22.504203
1.0,204,22.612512
2.0,245,22.739213
3.0,269,22.88239
2.0,259,23.022457
2.0,242,23.159593
1.0,202,23.271228
1.0,226,23.389485
2.0,263,23.541677
2.0,255,23.676953
1.0,198,23.782637
2.0,213,23.897005
1.0,218,24.010866
0.0,163,24.097514
1.0,194,24.201252
2.0,235,24.334878
4.0,289,24.504523
1.0,216,24.63706
1.0,182,24.762307
0.0,155,24.848911
0.0,182,24.947709
2.0,251,25.09571
2.0,221,25.216746
2.0,259,25.355601
2.0,250,25.495909
0.0,166,25.619289
3.0,276,25.816132
1.0,204,25.976775
1.0,198,26.144387
0.0,156,26.276024
1.0,223,26.446313
2.0,250,26.584451
1.0,199,26.701863
1.0,193,26.807089
1.0,211,26.918611
0.0,146,26.997861
1.0,194,27.104144
0.0,161,27.203114
2.0,233,27.352039
1.0,213,27.466711
3.0,310,27.671256
4.0,330,27.863504
6.0,433,28.104261
3.0,276,28.279118
1.0,196,28.393145
1.0,197,28.502235
2.0,264,28.646143
0.0,163,28.739289
1.0,193,28.846235
1.0,184,28.955425
0.0,162,29.065675
1.0,220,29.241569
0.0,123,29.353069
3.0,263,29.527832
0.0,156,29.631302
3.0,283,29.810834
0.0,130,29.883829
2.0,247,30.020378
1.0,222,30.139693
0.0,162,30.242163
3.0,289,30.412568
0.0,153,30.494219
1.0,207,30.631196
0.0,176,30.734346
2.0,244,30.866463
2.0,229,30.994097
3.0,276,31.145441
1.0,201,31.253471
3.0,309,31.417346
3.0,287,31.569844
1.0,201,31.70257
3.0,294,31.86756
1.0,193,31.980375
1.0,213,32.095071
2.0,245,32.225249
1.0,207,32.333302
2.0,264,32.467448
2.0,233,32.602147
3.0,295,32.767601
3.0,275,32.913471
2.0,227,33.03851
3.0,277,36.534635
3.0,282,42.503057
1.0,207,46.440847
1.0,194,49.952976
3.0,295,56.295966
3.0,295,63.107155
0.0,169,65.663864
2.0,265,70.579011
1.0,198,74.748223
1.0,192,78.264488
1.0,207,82.236753
1.0,216,85.673598
4.0,321,92.990757
0.0,171,95.202365
0.0,163,97.842748
