#{"t_start": 1713662304.067028, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,185,1.190134
1.0,210,1.30926
1.0,211,1.468095
2.0,220,1.598396
4.0,301,1.76348
0.0,158,1.860328
0.0,156,1.962707
0.0,176,2.080432
4.0,341,2.286958
2.0,238,2.420782
2.0,249,2.56134
5.0,370,2.763938
2.0,247,2.898983
2.0,227,3.053929
1.0,203,3.187306
1.0,191,3.322139
0.0,164,3.421319
4.0,314,3.600383
4.0,324,3.776141
1.0,181,3.876166
2.0,231,4.00413
2.0,263,4.149652
1.0,182,4.250278
4.0,292,4.409762
1.0,207,4.519267
1.0,192,4.623069
3.0,309,4.790396
1.0,177,4.886653
3.0,269,5.030462
2.0,226,5.1526
5.0,379,5.373202
1.0,186,5.496709
1.0,199,5.610515
3.0,292,5.771546
3.0,266,5.923547
3.0,272,6.070991
2.0,267,6.212871
2.0,241,6.340726
3.0,285,6.493404
1.0,210,6.603741
1.0,207,6.717697
2.0,255,6.853453
0.0,156,6.938475
0.0,171,7.028231
1.0,197,7.135776
5.0,420,7.355982
3.0,284,7.512313
1.0,204,7.657888
2.0,247,7.793542
0.0,150,7.874156
3.0,294,8.037875
1.0,199,8.145755
4.0,326,8.324648
2.0,237,8.452769
2.0,248,8.585542
4.0,367,8.781686
2.0,268,8.930017
2.0,255,9.064759
2.0,226,9.187563
1.0,222,9.303608
2.0,253,9.43889
1.0,194,9.541803
0.0,173,9.634575
2.0,257,9.784263
1.0,197,9.923747
2.0,263,10.073
0.0,162,10.160493
0.0,158,10.245328
4.0,308,10.411825
0.0,167,10.50198
1.0,192,10.606089
1.0,215,10.720053
3.0,275,10.867642
2.0,240,11.00099
6.0,424,11.235136
4.0,318,11.409006
3.0,282,11.563369
1.0,193,11.671225
1.0,181,11.800534
3.0,315,11.978586
2.0,223,12.100516
2.0,251,12.236407
5.0,383,12.438643
3.0,273,12.583649
2.0,226,12.704031
0.0,158,12.788121
2.0,243,12.918335
0.0,163,13.005357
0.0,170,13.095714
2.0,228,13.21696
3.0,282,13.366257
2.0,222,13.492377
0.0,149,13.575585
0.0,153,13.661396
1.0,208,13.775374
2.0,249,13.911368
3.0,261,14.071496
2.0,243,14.226458
0.0,182,14.32362
0.0,181,14.419083
2.0,257,14.553499
3.0,287,14.704614
2.0,230,14.829109
2.0,259,14.971181
2.0,251,15.106069
0.0,176,15.200977
4.0,311,15.370426
3.0,276,15.521022
3.0,293,15.684231
0.0,182,15.784783
6.0,431,16.026504
0.0,142,16.103644
0.0,168,16.197978
3.0,278,16.377917
1.0,221,16.509787
5.0,339,16.698113
2.0,242,16.826342
3.0,280,16.978564
0.0,180,17.073885
2.0,237,17.200104
2.0,244,17.330885
2.0,213,17.451768
2.0,243,17.585793
2.0,244,17.717833
0.0,163,17.808825
3.0,298,17.972038
1.0,210,18.085322
1.0,199,18.193686
0.0,163,18.282482
1.0,194,18.424474
3.0,269,18.584161
3.0,277,18.733309
2.0,241,18.862972
0.0,150,18.945542
2.0,261,19.091696
6.0,345,19.294713
1.0,204,19.407792
1.0,195,19.51985
1.0,217,19.659128
2.0,252,19.823963
0.0,147,19.918523
3.0,289,20.091052
3.0,248,20.2577
2.0,237,20.404062
3.0,245,20.540178
1.0,212,20.654177
5.0,374,20.881
3.0,292,21.086882
1.0,204,21.2236
0.0,153,21.321227
1.0,202,21.44438
2.0,246,21.571577
2.0,232,21.690112
3.0,288,21.834482
0.0,168,21.919239
5.0,359,22.097809
3.0,273,22.231777
1.0,185,22.325394
0.0,171,22.410004
0.0,163,22.48945
1.0,203,22.592597
0.0,164,22.67282
3.0,293,22.818676
5.0,341,22.988762
3.0,286,23.130382
0.0,162,23.210891
1.0,206,23.309989
1.0,216,23.41768
2.0,245,23.573917
0.0,158,23.658892
1.0,191,23.755354
4.0,347,23.928054
2.0,209,24.03409
0.0,153,24.11216
0.0,163,24.190672
0.0,149,24.266985
2.0,268,24.400168
1.0,201,24.499868
0.0,177,24.58879
0.0,147,24.689721
3.0,271,24.835537
0.0,163,24.922926
4.0,345,25.095978
5.0,362,25.274326
0.0,179,25.362336
1.0,193,25.458266
1.0,191,25.553949
2.0,213,25.659926
2.0,236,25.777017
1.0,193,25.873802
3.0,268,26.007401
2.0,213,26.141477
0.0,180,26.231446
3.0,277,26.369949
1.0,183,26.461291
2.0,253,26.586021
0.0,173,26.67326
0.0,166,26.756786
2.0,275,26.897065
1.0,202,26.999147
1.0,202,27.134031
3.0,260,27.269018
2.0,246,27.391422
4.0,310,27.546757
3.0,270,27.712005
2.0,242,27.83499
2.0,242,27.958342
3.0,254,28.087322
2.0,240,28.20597
0.0,162,28.285722
2.0,238,28.404702
0.0,171,28.490687
2.0,242,28.614501
2.0,245,28.737948
3.0,291,28.887589
1.0,195,28.98574
1.0,206,29.088117
0.0,163,29.16876
1.0,215,29.272066
2.0,230,29.41401
1.0,180,29.506477
4.0,336,29.688705
2.0,224,29.802171
0.0,166,29.885437
1.0,214,29.996407
2.0,214,30.107634
3.0,282,30.249113
1.0,198,30.347838
0.0,178,30.435422
0.0,161,30.516152
4.0,342,30.718289
1.0,220,30.831874
2.0,217,30.943467
3.0,290,31.088219
2.0,261,31.218464
1.0,193,31.314347
2.0,238,31.433498
1.0,217,31.540785
1.0,204,31.640299
0.0,162,31.71891
1.0,195,31.815049
0.0,169,31.89714
2.0,236,32.038351
1.0,174,32.138495
0.0,150,32.214268
1.0,192,34.679303
1.0,190,37.919774
1.0,213,41.764048
3.0,254,46.980446
0.0,148,48.622338
2.0,218,53.020455
1.0,210,56.207318
1.0,186,59.430803
2.0,249,64.24441
3.0,262,69.041907
1.0,199,72.283042
1.0,195,75.508684
1.0,196,79.115241
2.0,271,83.912266
2.0,237,87.946099
5.0,356,95.214759
1.0,207,98.852357
2.0,220,102.871597
0.0,180,105.306329
1.0,195,108.522746
5.0,396,116.916872
2.0,242,121.344015
0.0,180,123.781533
4.0,314,130.141393
1.0,214,133.740343
0.0,154,136.143941
2.0,226,140.145278
1.0,195,143.333036
3.0,288,148.924465
3.0,276,154.112565
2.0,236,158.502113
1.0,216,161.695989
2.0,237,165.675466
4.0,323,172.44566
0.0,162,174.455936
1.0,185,177.639043
0.0,179,180.074812
0.0,175,182.500131
5.0,368,190.4415
7.0,444,199.166228
0.0,171,201.958578
3.0,276,207.125309
4.0,327,213.850528
1.0,205,217.434454
4.0,312,223.400641
3.0,299,228.591465
2.0,239,232.938135
4.0,324,239.342811
1.0,198,242.550247
1.0,185,245.762829
3.0,261,251.146691
2.0,233,255.916385
2.0,245,260.924513
2.0,249,265.698899
2.0,235,270.430927
2.0,229,274.572959
3.0,280,279.966353
5.0,367,288.73528
2.0,260,293.483064
1.0,197,296.607413
2.0,226,301.423617
2.0,238,306.247582
1.0,203,309.873382
0.0,160,312.381006
2.0,235,316.473129
4.0,338,323.130974
2.0,252,327.793262
3.0,298,333.853394
0.0,172,336.392237
2.0,227,340.610734
1.0,198,344.205038
2.0,214,348.676233
0.0,168,351.410383
3.0,322,357.637228
2.0,220,361.799374
2.0,234,366.758223
3.0,274,371.919003
2.0,218,376.300977
1.0,217,380.761582
4.0,300,387.666279
3.0,286,393.664586
2.0,228,398.528104
2.0,243,404.076228
0.0,182,406.750266
5.0,356,414.971193
0.0,174,417.52224
3.0,284,424.042028
2.0,237,428.33285
2.0,255,432.875337
1.0,198,436.232233
1.0,202,439.467943
1.0,199,442.267842
4.0,309,448.465849
5.0,344,456.228241
2.0,256,460.799546
2.0,246,465.874977
1.0,205,469.324426
0.0,162,472.031686
2.0,247,476.779999
1.0,191,480.508775
2.0,211,485.102284
2.0,254,490.402325
3.0,314,497.012037
0.0,169,499.18969
2.0,260,504.182401
2.0,234,508.735971
4.0,341,515.628783
2.0,232,519.792912
3.0,313,526.116053
1.0,225,530.614587
2.0,246,535.273194
1.0,222,539.448817
2.0,238,543.655843
2.0,259,549.045366
2.0,234,553.433875
1.0,220,557.29962
2.0,233,561.480762
1.0,198,565.173274
2.0,220,569.515732
2.0,223,574.096297
2.0,246,578.812322
1.0,190,582.2057
1.0,182,585.520522
1.0,215,589.455122
3.0,294,595.423795
1.0,214,599.764484
2.0,218,603.905684
2.0,251,608.046619
1.0,212,611.334256
0.0,147,613.798503
1.0,214,617.467074
2.0,228,621.312961
2.0,260,626.094182
1.0,230,630.221006
3.0,267,635.166701
2.0,247,639.653623
1.0,209,642.937466
3.0,283,648.577813
1.0,201,652.24565
2.0,231,656.589195
5.0,345,663.623044
3.0,296,669.343083
2.0,248,674.366601
1.0,194,677.501051
0.0,157,679.663725
6.0,431,690.596631
5.0,359,699.125989
1.0,175,702.656362
1.0,214,706.514109
3.0,309,713.334262
2.0,264,718.43449
4.0,321,724.596896
2.0,231,729.875702
2.0,267,735.086749
3.0,288,741.351627
1.0,208,744.712421
1.0,196,747.946844
0.0,158,750.38867
2.0,248,754.795062
0.0,160,757.240194
2.0,217,761.263238
3.0,284,766.888117
0.0,160,769.317377
4.0,319,775.717889
3.0,291,781.307405
3.0,262,785.741486
1.0,200,789.427166
1.0,211,793.062383
3.0,289,798.678445
1.0,219,802.324417
0.0,151,804.331617
1.0,220,807.941607
1.0,206,811.48015
0.0,165,814.461117
1.0,194,817.959112
1.0,215,821.835519
2.0,228,826.155663
0.0,169,829.192624
1.0,207,832.593423
0.0,150,834.727516
3.0,292,841.167973
3.0,280,846.965846
2.0,236,850.949086
1.0,211,854.38545
0.0,172,857.252023
1.0,206,860.698892
0.0,167,863.360715
2.0,226,868.063781
0.0,167,870.295575
2.0,232,874.364434
1.0,206,877.690283
3.0,289,883.058645
2.0,250,887.589818
4.0,295,893.561361
2.0,239,897.622656
0.0,168,900.155987
2.0,256,905.120602
1.0,177,907.995637
1.0,203,911.665013
1.0,181,914.497501
3.0,283,919.96075
1.0,196,923.13694
0.0,176,925.910132
0.0,163,928.301669
1.0,206,931.472966
4.0,307,937.339995
1.0,204,940.635207
0.0,183,943.176333
1.0,214,947.006183
2.0,232,951.294748
0.0,165,953.916496
2.0,237,958.201251
2.0,244,963.343608
1.0,200,966.696038
1.0,205,970.907218
0.0,174,973.651755
1.0,221,977.457118
2.0,257,982.628549
0.0,173,985.17999
1.0,198,989.140907
0.0,163,991.681491
2.0,218,995.954058
3.0,281,1001.800011
3.0,274,1007.028744
1.0,196,1010.316301
3.0,268,1015.526898
1.0,200,1019.091701
3.0,297,1024.928821
3.0,281,1030.530819
1.0,218,1033.805026
1.0,211,1037.18394
0.0,147,1039.770015
0.0,165,1042.283199
3.0,307,1048.290567
1.0,200,1051.521041
1.0,227,1055.250958
2.0,209,1059.284055
9.0,408,1068.932757
2.0,249,1073.884539
3.0,262,1079.216995
1.0,178,1082.771933
4.0,305,1088.906111
1.0,205,1092.862294
2.0,230,1097.774486
2.0,246,1102.500729
2.0,228,1106.908618
5.0,369,1115.214885
1.0,199,1118.576656
1.0,198,1122.961825
1.0,183,1126.406475
1.0,211,1129.7354
2.0,241,1134.322988
3.0,297,1140.438051
0.0,165,1142.937908
3.0,285,1148.366366
4.0,317,1155.211587
0.0,170,1157.700211
1.0,198,1161.889107
1.0,203,1165.142167
0.0,161,1167.559974
1.0,197,1171.087034
3.0,259,1176.196044
3.0,272,1181.264736
2.0,237,1185.211071
4.0,295,1191.046422
2.0,235,1194.937988
3.0,307,1200.452093
3.0,278,1205.522713
1.0,196,1208.635624
2.0,222,1212.514143
2.0,255,1216.80516
2.0,242,1221.098997
0.0,160,1223.441249
2.0,256,1227.807584
1.0,188,1230.95441
1.0,195,1234.116514
1.0,216,1237.636822
3.0,285,1242.751058
0.0,145,1244.749394
2.0,254,1249.068925
1.0,207,1252.597203
2.0,246,1256.509666
1.0,196,1259.664901
2.0,211,1263.186138
3.0,266,1268.627354
3.0,304,1274.150058
3.0,263,1279.193698
2.0,233,1283.119969
2.0,220,1287.011027
2.0,256,1291.709989
4.0,285,1297.178481
2.0,240,1301.084935
3.0,305,1306.919268
2.0,267,1311.620882
1.0,208,1314.782938
2.0,224,1318.678793
2.0,215,1322.601628
1.0,198,1326.121012
2.0,246,1330.443045
2.0,236,1334.350369
3.0,293,1339.426974
0.0,161,1341.773577
0.0,161,1344.112467
1.0,203,1347.637566
3.0,292,1353.108879
0.0,150,1354.69969
0.0,157,1357.440417
5.0,334,1363.684606
0.0,165,1366.429018
0.0,178,1368.814321
3.0,295,1374.262903
1.0,201,1377.401499
0.0,165,1379.397792
0.0,154,1381.763066
1.0,218,1385.248951
0.0,169,1388.00652
2.0,261,1392.746592
1.0,193,1396.360174
2.0,219,1400.213902
2.0,224,1404.409283
0.0,141,1406.616226
4.0,306,1413.149862
1.0,192,1416.969111
2.0,220,1421.817229
0.0,155,1424.064935
4.0,328,1431.428955
3.0,281,1437.286775
1.0,218,1441.331892
5.0,348,1449.081847
4.0,337,1456.204304
2.0,232,1461.168712
0.0,163,1463.789152
0.0,161,1466.322517
0.0,143,1468.444878
4.0,308,1475.167377
4.0,310,1482.040522
2.0,225,1486.532324
4.0,316,1493.440366
0.0,155,1496.535943
0.0,170,1499.086998
1.0,187,1502.49638
0.0,161,1505.160913
3.0,271,1511.04751
7.0,407,1520.638535
1.0,195,1524.536223
4.0,337,1531.440117
3.0,290,1536.750748
2.0,227,1541.275196
0.0,165,1543.769499
2.0,252,1548.648895
2.0,236,1553.349923
2.0,244,1558.650943
7.0,352,1567.110423
2.0,233,1572.420115
3.0,299,1578.088346
3.0,305,1583.637367
1.0,207,1587.171241
1.0,192,1590.344013
4.0,335,1596.59622
2.0,239,1600.575814
0.0,158,1602.920903
0.0,143,1604.519074
1.0,182,1607.65267
1.0,191,1611.220193
3.0,278,1616.310246
1.0,187,1619.444067
2.0,238,1623.773836
1.0,206,1626.947681
0.0,162,1629.31894
0.0,158,1631.700761
2.0,247,1636.043219
1.0,204,1639.602707
2.0,238,1644.361519
4.0,316,1650.704702
0.0,159,1653.118612
0.0,170,1655.524017
0.0,171,1657.938938
1.0,187,1661.111797
1.0,220,1664.695773
6.0,429,1673.467225
3.0,280,1679.053868
2.0,251,1683.465854
3.0,276,1688.249496
4.0,326,1694.575214
0.0,167,1697.364821
2.0,232,1701.331372
2.0,250,1705.695301
3.0,289,1711.32389
